"Observed","Predicted"
0.562,0.398455744444445
0.601,0.585107416666663
0.62,0.531344888888888
0.416666666666667,0.469333864087302
0.583333333333333,0.411228259259259
0.333333333333333,0.492186634920635
0.5,0.443657126785714
0.479166666666667,0.416495579629629
0.388888888888889,0.414218005555554
0.25,0.422404211111111
0.416666666666667,0.474187939153439
0.416666666666667,0.393722158730149
0.494,0.461406884656085
0.375,0.532696858201058
0.688888888888889,0.409638805330688
0.583333333333333,0.480191093915344
0.333333333333334,0.556653560185187
0.455,0.514420167989419
0.455,0.478611185185186
0.497,0.508856144775135
0.476190476190476,0.470423092592592
0.354,0.443408381746031
0.551,0.494982799007939
0.546,0.542188721891536
0.598,0.494779787962964
0.541,0.484025183862434
0.42,0.448524641534397
0.457,0.476178842857123
0.623,0.536117095304233
0.37,0.393512380952381
0.323,0.461157607142863
